index,EN,PT
197,Hang on.,Aguardem.
198,He came.,Ele veio.
199,He runs.,Ele corre.
200,Help me!,Me ajuda!
201,Help me!,Ajude-me!
202,Help me!,Ajudem-me!
203,Help me.,Me ajude.
204,Help me.,Ajude-me.
205,Help me.,Ajuda-me.
206,Help me.,Ajudem-me.
207,Help me.,Me ajuda!
208,Help me.,Ajude-me!
209,Help me.,Ajudem-me!
210,Help us.,Ajudem-nos.
211,Help us.,Nos ajude.
212,Help us.,Ajude a gente.
213,Help us.,Ajude-nos.
214,"Hi, Tom.","Oi, Tom."
215,Hit Tom.,Acerta o Tom.
216,Hold it!,Segure isso!
217,Hold it!,Segura isso!
218,Hold on.,Espere.
219,Hold on.,Espera.
220,Hug Tom.,Abrace o Tom.
221,Hug Tom.,Abracem o Tom.
222,I agree.,Eu concordo.
223,I agree.,Estou de acordo.
224,I agree.,Eu estou de acordo.
225,I cried.,Eu chorei.
226,I drove.,Eu dirigi.
227,I moved.,Mudei-me.
228,I smoke.,Eu fumo.
229,I snore.,Eu ronco.
230,I stink.,Eu cheiro mal.
231,I tried.,Eu tentei.
232,I tried.,Tentei.
233,I waved.,Eu acenei.
234,I'll go.,Eu vou.
235,I'll go.,Eu vou!
236,I'm fat.,Estou gordo.
237,I'm fat.,Sou gordo.
238,I'm fat.,Eu sou gorda.
239,I'm fat.,Eu estou gorda.
240,I'm fit.,Eu estou em forma.
241,I'm fit.,Estou em forma.
242,I'm hot.,Tenho calor.
243,I'm hot.,Estou com calor.
244,I'm mad.,Estou bravo.
245,I'm mad.,Estou louco.
246,I'm old.,Eu sou velho.
247,I'm old.,Eu sou velha.
248,I'm old.,Eu estou velho.
249,I'm old.,Eu estou velha.
250,I'm sad.,Estou triste.
251,I'm sad.,Eu sou triste.
252,I'm sad.,Eu estou triste.
253,I'm shy.,Eu sou tímido.
254,I'm wet.,Estou molhado.
255,I'm wet.,Estou molhada.
256,It's OK.,Está tudo bem.
257,It's OK.,Tudo bem.
258,It's OK.,Está bem.
259,It's OK.,Tá bom.
260,It's me!,Sou eu.
261,It's me.,Sou eu.
262,Join us.,Junte-se.
263,Join us.,Junte-se a nós!
264,Keep it.,Fique com ele.
265,Keep it.,Fica com ele.
266,Keep it.,Fiquem com ele.
267,Keep it.,Fique com ela.
268,Keep it.,Fica com ela.
269,Keep it.,Fiquem com ela.
270,Kiss me.,Me beija.
271,Kiss me.,Dê-me um beijo.
272,Kiss me.,Beije-me.
273,Kiss me.,Me beije.
274,Look up.,Olhe para cima!
275,Look up.,Olha pra cima!
276,Look up.,Olhe pra cima!
277,Look up.,Olha para cima!
278,"Me, too.",Eu também.
279,Open up.,Abra.
280,Perfect!,Perfeito!
281,See you!,Nos vemos!
282,See you.,Até mais.
283,See you.,Até logo.
284,See you.,Nos vemos.
285,See you.,A gente se vê.
286,Show me.,Mostre-me.
287,Show me.,Me mostre.
288,Show me.,Me mostra.
289,Shut up!,Cale a boca!
290,Shut up!,Cala a boca!
291,Shut up!,Cala-te!
292,Shut up!,Cale-se!
293,Shut up!,Calem a boca!
294,Shut up!,Calem-se!
295,Stop it.,Pare com isso!
296,Stop it.,Pare.
297,Stop it.,Para com isso.
298,Take it.,Pegue-o!
299,Take it.,Peguem-no!
300,Take it.,Pegue-o.
301,Take it.,Pega-o.
302,Take it.,Peguem-no.
303,Take it.,Pegue-a.
304,Take it.,Pega-a.
305,Take it.,Peguem-na.
306,Tell me.,Diga-me.
307,Tell me.,Digam-me.
308,Tell me.,Diz-me.
309,Tom ate.,O Tom comeu.
310,Tom ate.,Tom comeu.
311,Tom hid.,Tom se escondeu.
312,Tom ran.,Tom correu.
313,Tom ran.,O Tom correu.
314,Tom won.,Tom ganhou.
315,Wait up.,Esperem.
316,Wait up.,Espere.
317,Wake up!,Acorda!
318,Wake up!,Acorde!
319,Wake up!,Acordem!
320,Wake up.,Acorde.
321,Wake up.,Acordem.
322,Wash up.,Lava-te.
323,Wash up.,Lave-se.
324,Wash up.,Lavem-se.
325,Wash up.,Lave as mãos.
326,Wash up.,Lave o rosto.
327,We care.,Nós nos importamos.
328,We know.,Nós sabemos.
329,We lost.,Perdemos.
330,We lost.,Nós perdemos.
331,Welcome.,Seja bem-vindo!
332,Welcome.,Bem-vindo!
333,Welcome.,Seja bem-vinda!
334,Welcome.,Bem-vinda!
335,Who ate?,Quem comeu?
336,Who ran?,Quem correu?
337,Who won?,Quem ganhou?
338,Why not?,Por que não?
339,You run.,Você corre.
340,You run.,Corra.
341,You won.,Você ganhou.
342,You won.,Você venceu.
343,You won.,Vocês venceram.
344,Am I fat?,Estou gordo?
345,Am I fat?,Estou gorda?
346,Ask them.,Pergunte para eles.
347,Ask them.,Pergunte para elas.
348,Back off!,Para trás!
349,Back off.,Recue.
350,Back off.,Recuem.
351,Back off.,Recua.
352,Be brave.,Seja corajoso.
353,Be brave.,Seja valente.
354,Be brief.,Seja breve.
355,Be quick.,Seja rápido.
356,Be quiet.,Fique quieta.
357,Be quiet.,Fique quieto.
358,Be still.,Acalme-se.
359,Beats me.,Não faço ideia.
360,Call Tom.,Ligue para o Tom.
361,Can I go?,Posso ir?
362,Cheer up!,Ânimo!
363,Cool off!,Acalme-se.
364,Cool off!,Acalme-se!
365,Cuff him.,Algeme-o.
366,Don't go.,Não vá.
367,Drive on.,Dirija!
368,Find Tom.,Encontre o Tom.
369,Find Tom.,Encontrem o Tom.
370,Fix this.,Conserta isto.
371,Get away!,Cai fora!
372,Get away!,Fora!
373,Get away!,Se manda!
374,Get down!,Abaixe-se.
375,Get down!,Desça!
376,Get down.,Escreva.
377,Get down.,Abaixe-se.
378,Get down.,Deitem-se.
379,Get lost!,Se manda!
380,Get lost!,Vai-te embora!
381,Get lost!,Vá-se embora!
382,Get lost.,Se manda!
383,Get real!,Acorda!
384,Get real!,Cai na real!
385,Get real.,Acorda!
386,Get real.,Cai na real!
387,Go ahead!,Vá em frente!
388,Go ahead!,Continue!
389,Go ahead.,Continua.
390,Go ahead.,Vá em frente!
391,Go ahead.,Continue!
392,Go ahead.,Continuem.
393,Good job!,Bom trabalho!
394,Grab Tom.,Pegue o Tom.
395,Grab him.,Agarre-o.
396,Grab him.,Agarrem-no.
397,Have fun.,Diverte-te!
398,Have fun.,Divirtam-se!
399,Have fun.,Divirta-se!
400,He spoke.,Ele falou.
401,He tries.,Ele tenta.
402,He's Tom.,Ele é o Tom.
403,He's Tom.,Ele é Tom.
404,He's wet.,Ele está molhado.
405,Help Tom.,Ajude o Tom.
406,Help Tom.,Ajuda o Tom.
407,Help Tom.,Ajudem o Tom.
408,"Hi, guys.","Olá, pessoal."
409,How cute!,Que bonitinho!
410,How cute!,Que fofinho!
411,How cute!,Que fofinha!
412,How cute!,Que bonitinha!
413,How deep?,Quão fundo?
414,How deep?,Qual a profundidade?
415,How deep?,Qual é a profundidade?
416,How nice!,Que legal!
417,How rude!,Que bruto!
418,How rude!,Que rude!
419,Hurry up.,Apresse-se.
420,Hurry up.,Depressa!
421,Hurry up.,Apressa-te!
422,Hurry up.,Se apressa!
423,I burped.,Eu arrotei.
424,I can go.,Eu posso ir.
425,I can go.,Eu consigo ir.
426,I danced.,Eu dancei.
427,I failed.,Eu fracassei.
428,I forgot.,Eu me esqueci.
429,I forgot.,Eu esqueci.
430,I forgot.,Esqueci.
431,I forgot.,Me esqueci.
432,I get it.,Eu entendo.
433,I got it.,Entendi.
434,I got it.,Eu entendi.
435,I got up.,Eu me levantei.
436,I got up.,Me levantei.
437,I helped.,Eu ajudei.
438,I jumped.,Eu pulei.
439,I looked.,Eu olhei.
440,I nodded.,Balancei a cabeça.
441,I nodded.,Eu balancei a cabeça.
442,I phoned.,Eu telefonei.
443,I prayed.,Eu orei.
444,I prayed.,Eu rezei.
445,I resign.,Eu me demito.
446,I rested.,Eu descansei.
447,I saw it.,Eu o vi.
448,I smiled.,Eu sorri.
449,I smiled.,Dei um sorriso.
450,I stayed.,Eu fiquei.
451,I talked.,Eu falei.
452,I waited.,Eu esperei.
453,I winked.,Eu pisquei.
454,I yawned.,Eu bocejei.
455,I'll pay.,Eu pagarei.
456,I'll try.,Tentarei.
457,I'll win.,Vou vencer.
458,I'm back.,Voltei.
459,I'm bald.,Sou careca.
460,I'm bald.,Eu sou careca.
461,I'm bald.,Estou careca.
462,I'm busy.,Estou ocupado.
463,I'm busy.,Estou ocupada.
464,I'm cold.,Estou com frio.
465,I'm cool.,Sou legal.
466,I'm deaf.,Sou surdo.
467,I'm done.,Já terminei.
468,I'm fair.,Eu sou justo.
469,I'm fast.,Sou rápido.
470,I'm fine.,Estou bem.
471,I'm fine.,Eu vou bem.
472,I'm fine.,Eu estou bem.
473,I'm free.,Eu sou livre.
474,I'm free.,Estou livre.
475,I'm full.,Estou cheio.
476,I'm full.,Estou cheia.
477,I'm glad.,Estou contente.
478,I'm good.,Eu vou bem.
479,I'm here.,Estou aqui.
480,I'm here.,Eu estou aqui.
481,I'm home.,Cheguei.
482,I'm hurt.,Estou machucado.
483,I'm hurt.,Estou ferido.
484,I'm lost.,Estou perdido.
485,I'm next.,Sou o próximo.
486,I'm next.,Sou a próxima.
487,I'm okay.,Estou bem.
488,I'm okay.,Eu estou bem.
489,I'm poor.,Sou pobre.
490,I'm rich.,Eu sou rico.
491,I'm rich.,Eu sou rica.
492,I'm safe.,Eu estou seguro.
493,I'm sick.,Estou doente.
494,I'm sick.,Estou doente!
495,I'm sick.,Estou enfermo.
496,I'm sick.,Estou enferma.
497,I'm sick.,Eu estou enfermo.
498,I'm sure.,Tenho certeza.
499,I'm tall.,Eu sou alto.
500,I'm thin.,Eu sou magro.
501,I'm thin.,Sou magro.
502,I'm tidy.,Estou arrumado.
503,I'm tidy.,Eu estou arrumado.
504,I'm ugly.,Sou feio.
505,I'm ugly.,Estou feio.
506,I'm ugly.,Sou feia.
507,I'm ugly.,Estou feia.
508,I'm well.,Estou bem.
509,I'm wise.,Eu sou sábio.
510,I've won.,Eu venci.
511,It helps.,Isso ajuda.
512,It hurts.,Isso machuca.
513,It works.,Funciona.
514,It's Tom.,É o Tom.
515,It's fun.,É divertido.
516,It's his.,É dele.
517,It's hot.,Está quente.
518,It's new.,Isso é novo.
519,It's new.,Isso está novo.
520,It's old.,É velho.
521,It's red.,É vermelho.
522,It's red.,Isso é vermelho.
523,It's red.,É vermelha.
524,It's sad.,É triste.
525,Keep out!,Não entre.
526,Keep out!,Afaste-se!
527,Keep out.,Não entre.
528,Keep out.,Afaste-se!
529,Kiss Tom.,Beije Tom.
530,Leave it.,Deixe para lá.
531,Leave me.,Me deixe.
532,Leave me.,Deixe-me.
533,Leave me.,Me deixa.
534,Leave us.,Deixe-nos.
535,Leave us.,Nos deixe.
536,Let's go!,Vamos!
537,Let's go.,Vamos!
538,Look out!,Preste atenção!
539,Look out!,Atenção!
540,Look out!,Cuidado!
541,Marry me.,Case comigo.
542,May I go?,Posso ir?
543,Save Tom.,Salve o Tom.
544,Save Tom.,Salve a Tom.
545,She came.,Ela veio.
546,She died.,Ela morreu.
547,She runs.,Ela corre.
548,Sit down!,Assente-se!
549,Sit down.,Sente-se.
550,Sit here.,Senta aqui.
551,Sit here.,Sente-se aqui.
552,Speak up!,Fale mais alto!
553,Speak up!,Falem mais alto!
554,Speak up!,Fala mais alto!
555,Stand by.,Aguarde.
556,Stand by.,Aguardem.
557,Stand up!,Levante-se!
558,Stand up!,De pé!
559,Stand up.,Levante-se.
560,Stand up.,Levantem-se.
561,Stop Tom.,Pare o Tom.
562,Stop Tom.,Parem o Tom.
563,Stop Tom.,Impeça o Tom.
564,Stop Tom.,Impeçam o Tom.
565,Stop Tom.,Interrompa o Tom.
566,Stop Tom.,Detenham Tom.
567,Take Tom.,Leve o Tom.
568,Take Tom.,Leva o Tom.
569,Tell Tom.,Conte ao Tom.
570,Tell Tom.,Contem ao Tom.
571,Tell Tom.,Conta para o Tom.
572,Terrific!,Fantástico!
573,Terrific!,Genial!
574,Terrific!,Excelente!
575,Terrific!,Magnífico!
576,They won.,Eles ganharam.
577,They won.,Elas ganharam.
578,They won.,Elas venceram.
579,They won.,Eles venceram.
580,Tom came.,Tom veio.
581,Tom died.,Tom morreu.
582,Tom died.,O Tom morreu.
583,Tom fell.,Tom caiu.
584,Tom knew.,Tom sabia.
585,Tom lied.,Tom mentiu.
586,Tom lies.,Tom mente.
587,Tom lost.,O Tom perdeu.
588,Tom paid.,O Tom pagou.
589,Tom quit.,Tom desistiu.
590,Tom swam.,O Tom nadou.
591,Tom swam.,Tom nadou.
592,Too late.,Tarde demais.
593,Trust me.,Confie em mim.
594,Try hard.,Esforce-se.
595,Try hard.,Se esforça.
596,Try some.,Experimenta.
597,Try some.,Experimente.
598,Try some.,Experimentem.
599,Try this.,Experimenta isto.
600,Try this.,Experimente isto.
601,Try this.,Experimentem isto.
602,Use this.,Use isso.
603,Warn Tom.,Avise ao Tom.
604,Warn Tom.,Avisem ao Tom.
605,Warn Tom.,Alerte o Tom.
606,Warn Tom.,Fale para o Tom.
607,Watch me.,Observe-me.
608,We agree.,Concordamos.
609,We agree.,Nós concordamos.
610,We stood.,Nós ficamos.
611,We stood.,Ficamos.
612,We tried.,Nós tentamos.
613,We'll go.,Nós iremos.
614,We're #1.,Nós somos o número 1.
615,We're #1.,Somos o número 1.
616,We're OK.,Estamos bem.
617,What for?,Para quê?
618,What fun!,Que divertido!
619,Who am I?,Quem sou eu?
620,Who came?,Quem veio?
621,Who died?,Quem morreu?
622,Who fell?,Quem caiu?
623,Who quit?,Quem desistiu?
624,Who swam?,Quem nadou?
625,Write me.,Escreva-me.
626,After you.,Você primeiro.
627,Aim. Fire!,"Preparar, apontar, fogo!"
628,Am I late?,Estou atrasado?
629,Answer me.,Responda-me.
630,Answer me.,Respondam-me.
631,Answer me.,Responda-me!
632,Answer me.,Respondam-me!
633,Answer me.,Me responde!
634,Answer me.,Me responda!
635,Be honest.,Seja sincera.
636,Be seated.,Sentai-vos.
637,Birds fly.,Pássaros voam.
638,Birds fly.,Os pássaros voam.
639,Bless you.,Saúde.
640,Call home!,Ligue para casa!
641,Calm down!,Acalme-se.
642,Calm down!,Acalme-se!
643,Calm down.,Acalme-se.
644,Calm down.,Acalma-te.
645,Calm down.,Acalmem-se.
646,Calm down.,Te acalma.
647,Calm down.,Aquieta o facho.
648,Can I eat?,Posso comer?
649,Can we go?,Podemos ir?
650,Catch Tom.,Pegue o Tom.
651,Catch Tom.,Peguem o Tom.
652,Catch him.,Pegue-o.
653,Catch him.,Peguem-no.
654,Come back.,Volte.
655,Come back.,Voltem.
656,Come here.,Venha aqui.
657,Come here.,Vem cá.
658,Come here.,Ande cá.
659,Come home.,Venha para casa.
660,Come over!,Vem!
661,Come over!,Venham!
662,Come over!,Venha.
663,Come over.,Venha.
664,Come soon.,Venha logo.
665,Cool down.,Acalme-se.
666,Cool down.,Acalme-se!
667,Cool down.,Acalmem-se.
668,Cool down.,Se acalme.
669,Did I win?,Eu ganhei?
670,Dogs bark.,Cães latem.
671,Dogs bark.,Cachorros latem.
672,Don't ask.,Não faça perguntas.
673,Don't ask.,Não pergunte!
674,Don't ask.,Não pergunte.
675,Don't cry.,Não chore.
676,Don't cry.,Não chorem.
677,Don't die.,Não morra!
678,Don't die.,Não morram!
679,Don't lie.,Não minta.
680,Don't run.,Não corra.
681,Don't run.,Não corram.
682,Don't run.,Não corras.
683,Excuse me.,Perdão.
684,Excuse me.,Com licença.
685,Excuse me.,Desculpa!
686,Excuse me.,Desculpe!
687,Excuse me?,O quê?
688,Excuse me?,O que você disse?
689,Excuse me?,Perdão?
690,Fantastic!,Fantástico!
691,Feel this.,Sinta isso.
692,Follow me.,Siga-me.
693,Follow me.,Sigam-me.
694,Follow me.,Me siga!
695,Follow me.,Me sigam!
696,Follow us.,Siga-nos.
697,Follow us.,Sigam-nos.
698,Forget it!,Esqueça!
699,Forget it!,Esquece!
700,Forget it.,Esqueça.
701,Forget it.,Esquece.
702,Forget it.,Esqueçam.
703,Forget it.,Esqueça!
704,Forget it.,Esquece!
705,Forget it.,Deixa.
706,Forget me.,Esqueça-me.
707,Get a job.,Arrume um emprego.
708,Go for it.,Vá em frente.
709,Go inside.,Entre.
710,Go inside.,Entra.
711,Go inside.,Vá para dentro.
712,Go inside.,Vai para dentro.
713,Goodnight.,Boa noite!
714,Hands off.,Tira as mãos.
715,Hands off.,Tire as mãos.
716,Hands off.,Tirem as mãos.
717,Have some.,Pega um pouco.
718,Have some.,Pegue um pouco.
719,Have some.,Peguem um pouco.
720,He is ill.,Ele está doente.
721,He is old.,Ele é velho.
722,He shaved.,Ele se barbeou.
723,He shaved.,Se barbeou.
724,He smiled.,Ele sorriu.
725,He's a DJ.,Ele é DJ.
726,He's rich.,Ele é rico.
727,Here I am.,Aqui estou.
728,Here's $5.,Aqui estão 5 dólares.
729,Hold this.,Segure isto.
730,How awful!,Que horror!
731,How awful!,Que terrível!
732,How awful!,Que ridículo!
733,How is it?,Como é isso?
734,How is it?,Como isso é?
735,How's Tom?,Como Tom está?
736,How's Tom?,Como está o Tom?
737,How's Tom?,Como vai o Tom?
738,I am full.,Estou cheio.
739,I am full.,Estou cheia.
740,I am lost.,Estou perdido.
741,I am okay.,Estou bem.
742,I am okay.,Eu vou bem.
743,I am okay.,Eu estou bem.
744,I am sick.,Estou doente.
745,I am sick.,Sou doente.
746,I am sure.,Tenho certeza.
747,I am tall.,Eu sou alto.
748,I am tall.,Sou alto.
749,I ate out.,Eu comi fora.
750,I blinked.,Eu pisquei.
751,I can fly.,Eu sei voar.
752,I can run.,Eu posso correr.
753,I can run.,Eu sei correr.
754,I can ski.,Eu sei esquiar.
755,I can win.,Eu posso ganhar.
756,I cheated.,Eu trapaceei.
757,I coughed.,Eu tossi.
758,I escaped.,Eu escapei.
759,I fainted.,Eu desmaiei.
760,I fainted.,Desmaiei.
761,I fear so.,Eu temo que sim.
762,I get you.,Eu te entendo.
763,I get you.,Te entendo.
764,I get you.,Eu entendo você.
765,I give in.,Eu me rendo.
766,I give up.,Eu desisto.
767,I got hit.,Fui atingido.
768,I got mad.,Fiquei furioso.
769,I got mad.,Eu fiquei furioso.
770,I grunted.,Eu resmunguei.
771,I had fun.,Eu me diverti.
772,I hope so.,Assim espero.
773,I hope so.,Espero que sim.
774,I inhaled.,Eu inalei.
775,I knew it.,Eu sabia.
776,I laughed.,Eu ri.
777,I laughed.,Ri.
778,I like it.,Eu gosto dele.
779,I lost it.,Eu o perdi.
780,I love it.,Eu amo isso.
781,I made it.,Consegui.
782,I may win.,Eu posso ganhar.
783,I mean it.,Estou falando sério.
784,I mean it.,Eu estou falando sério.
785,I miss it.,Saudades.
786,I miss it.,Saudades disso.
787,I need it.,Eu preciso disso.
788,I need it.,Preciso disso.
789,I need it.,Eu preciso.
790,I need it.,Preciso.
791,I noticed.,Eu notei.
792,I noticed.,Notei.
793,I promise.,Eu prometo.
794,I said no.,Eu disse que não.
795,I said no.,Disse que não.
796,I saw Tom.,Eu vi o Tom.
797,I saw Tom.,Vi o Tom.
798,I saw him.,Eu o vi.
799,I saw one.,Eu vi um.
800,I saw one.,Eu vi uma.
801,I see Tom.,Eu vejo o Tom.
802,I shouted.,Eu gritei.
803,I slipped.,Eu escorreguei.
804,I sneezed.,Eu espirrei.
805,I stopped.,Eu parei.
806,I studied.,Eu estudei.
807,I tripped.,Eu tropecei.
808,I tripped.,Tropecei.
809,I want it.,Quero.
810,I want it.,Eu quero isso.
811,I want it.,Quero isso.
812,I was sad.,Eu estava triste.
813,I was sad.,Eu fiquei triste.
814,I was wet.,Eu estava molhado.
815,I was wet.,Eu estava molhada.
816,I will go.,Eu vou.
817,I woke up.,Eu acordei.
818,I'd do it.,Eu faria isso.
819,I'll call.,Ligarei.
820,I'll cook.,Cozinharei.
821,I'll live.,Eu vou viver.
822,I'll lose.,Vou perder.
823,I'll sing.,Cantarei.
824,I'll stay.,Ficarei.
825,I'll stay.,Eu vou ficar.
826,I'll stop.,Eu vou parar.
827,I'll swim.,Eu vou nadar.
828,I'll wait.,Esperarei.
829,I'll walk.,Andarei.
830,I'll work.,Eu vou trabalhar.
831,I'm a man.,Eu sou homem.
832,I'm a man.,Sou um homem.
833,I'm a pro.,Sou um profissional.
834,I'm alert.,Estou alerta.
835,I'm alive.,Estou vivo.
836,I'm alive.,Estou viva.
837,I'm alone.,Estou sozinho.
838,I'm angry.,Estou com raiva.
839,I'm awake.,Estou acordado.
840,I'm blind.,Sou cega.
841,I'm blind.,Sou cego.
842,I'm blind.,Eu sou cega.
843,I'm blind.,Eu sou cego.
844,I'm bored.,Estou chateado.
845,I'm bored.,Eu estou entediado.
846,I'm bossy.,Eu sou mandona.
847,I'm bossy.,Eu sou mandão.
848,I'm brave.,Eu sou corajoso.
849,I'm broke.,Estou sem dinheiro.
850,I'm broke.,Eu estou duro.
851,I'm broke.,Estou duro.
852,I'm broke.,Estou falido.
853,I'm broke.,Estou quebrado.
854,I'm crazy.,Estou bravo.
855,I'm crazy.,Estou louco.
856,I'm dizzy.,Estou tonto.
857,I'm drunk.,Estou bêbado.
858,I'm drunk.,Estou embriagado.
859,I'm drunk.,Eu estou embriagado.
860,I'm drunk.,Estou bêbada.
861,I'm early.,Estou adiantado.
862,I'm going.,Eu vou.
863,I'm going.,Estou indo.
864,I'm going.,Já vou.
865,I'm happy.,Eu sou feliz.
866,I'm happy.,Eu estou feliz.
867,I'm happy.,Sou feliz.
868,I'm happy.,Estou feliz.
869,I'm loved.,Eu sou amado.
870,I'm loved.,Eu sou amada.
871,I'm loved.,Sou amado.
872,I'm loyal.,Eu sou leal.
873,I'm lucky.,Eu sou sortudo.
874,I'm lying.,Estou mentindo.
875,I'm naive.,Eu sou ingênua.
876,I'm naive.,Eu sou ingênuo.
877,I'm naked.,Estou pelado.
878,I'm naked.,Estou pelada.
879,I'm obese.,Estou obeso.
880,I'm older.,Sou mais velho.
881,I'm older.,Estou mais velho.
882,I'm picky.,Sou exigente.
883,I'm ready!,Estou pronto!
884,I'm ready!,Estou pronta!
885,I'm ready.,Estou pronto.
886,I'm ready.,Eu estou pronto.
887,I'm right.,Eu estou certo.
888,I'm small.,Eu sou pequena.
889,I'm small.,Eu sou pequeno.
890,I'm sober.,Estou sóbrio.
